Movie_N,Genre,Review,Stars
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",A really good action movie. Acting was excellent and the best part from the movie. Pace was great and I actually loved the quirky soundtrack.,6
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","All characters were interesting and developed in a realistic way. I liked how they appeared like no super heroes, just humans with a very, very long life.",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","The little details: Freeman getting ready and tense as the elevator goes up to the 15th floor, Andy's centuries old ""stuff"" in the old mine, the baklava taste, Booker's story, were welcome pauses from the violence - packed scenes. They managed to make the characters relatable and add meaning to the story.",8
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","1-1 fighting was choreographed beautifully, even though some scenes felt cliché.",3
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","I was hoping for a more layered villain, just for balance. The 5 were not pure good so why would he be pure evil? (""to save humanity"" doesn't count, it felt so rushed).",1
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","All in all, a good movie to watch and a bit different, more human, than most ""supernatural "" action movies, too.",2
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","Why why why so many haters?! First thing I thought was ""wow"" what a great sound track! Cinematographery is on point - nothing missed. Charlize Theron is bad ass for sure! Okay, so there are the odd over the top moments like the endless supply of security guards that just keep on coming. But that aside, all in all, thoroughly entertaining, original and full of action! 10/10 from me! Can't wait for The Old Guard 2!",10
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","I'm stunned. How can a topic that exciting be executed that boringly? It's a dull movie. Camera work, scenery, editing: uninspired. And that is already the kindest word I can think of. The setup takes way to long. The actors have very little to work with.
Go watch Highlander, instead.",4
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","As this film is based on a comic book, similarities r inevitable but it is a solid action thriller.
A short summary - A small group of centuries old soldiers who r trapped in an immortality with the ability to heal themselves must save each other from being caged by big pharma companies. They soon realize that it is harder to hide in this 21st century and so must get organized to erase their footprints but at the same time deal with past grievances.",8
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","The cinematography n editing r top notch. There is no shaky cam or darkly shot scenes. The hand to hand combat n gun fight sequences r noteworthy.
Charlize Theron is in awesome shape and all the other actors gave good performances.
Another highlight is the music.",1
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","The premise was good, but they didn't got to do something interesting with it. It was kind of a bore all the way. Also, the soundtrack is one of the worst I've ever witnessed in a movie.",2
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Not bad but not great either. It's watchable but a tad bland. The script probably needed a couple more rewrites. 5/10,8
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","Really loved the action, the acting and the melancholy feel to it all, much better than just an average action flick, except unfortunately for the incredibly stupid and jarring popsongs which ruin some scenes. Please please please just a decent score for (hopefully) part two. Other than that, really no complaints.",2
The Kissing Booth,"['Comedy', 'Romance']","Realistic and uncensored (i.e. non-conformist) teen movies are rare, but this is one. It is something different and as an adult I enjoyed it.",8
The Kissing Booth,"['Comedy', 'Romance']",Don't judge by 1930s standards. Be open to advancement and a truthful movie made to be fun to watch,7
The Kissing Booth,"['Comedy', 'Romance']","It was cutesy and fun. I know girls like to fantasize and probably watch it as girls-only, but if you have a good relationship in the family it is fun to watch as a family to see what girls dream of and also to have some fun.",8
The Kissing Booth,"['Comedy', 'Romance']",And I am a grown woman. I do have to admit that I watch teen movies because they are fun. This one was fun and sure the man-boy was a hunk.,6
The Kissing Booth,"['Comedy', 'Romance']",It is a pure teen movie but even if I am not a teen I had fun watching it. It is in the same league as Mean Girls.,9
The Kissing Booth,"['Comedy', 'Romance']","Girl can be a teenage girl and boy can be a teenage boy and like the old teen movies they can have feelings, be imperfect and experiment with love, emotions, sexuality and mostly freedom. It is fun to watch. There is nos ex scene, but isn't sex and sexuality nature?",8
The Kissing Booth,"['Comedy', 'Romance']",.... but I could not stop watching. I admit.,8
The Kissing Booth,"['Comedy', 'Romance']",I mean here comes another girl who of course falls for the muscular hunk. What is with women loving only beefcakes?,7
The Kissing Booth,"['Comedy', 'Romance']","Oh well, at least he is genuinely interested in her and really cares and checking out her wiles we know why.
A film to watch as a family one evening and forget about.",7
The Kissing Booth,"['Comedy', 'Romance']","This movie is extremely cliched, but that is what I would expect from a movie of this nature so I enjoyed it anyway. What I didn't expect was for me to have such a strong hope that young girls and men watch this and learn. The one reason I gave this movie 8 stars is not because acting is pretty good but because it signals that clarity and communication in relationships is important.",8
The Kissing Booth,"['Comedy', 'Romance']","If you want to experience a fifteen year old girls fantasy, this is it!! :)
For that it like it, kind of. 
The acting is even pretty good, given that the writing is clumsy.",8
The Kissing Booth,"['Comedy', 'Romance']","The girl is doing her best and performing as well as possible under duress and pressure. Dating is competitive but she is doing her best with all she has. she isn't the sexiest babe, but flaunts just a little to attract a man.",7
The Kissing Booth,"['Comedy', 'Romance']",This wasfun to watch. The setting is fun and oriented on two teens with the girl getting a lot of attention from her hunk. Many inferior suitors come for the girl but she is rarely dazzled by weak men. A positive message.,1
The Kissing Booth,"['Comedy', 'Romance']","Full of lovely scenes and lines and the messages that this movie portrays are uplifting for young girls. A guy ignores you but it's okay because he is popular and then you get to go on a date with him and you win him because that's what you want, the main guy is strong, powerful and an alpha male and borderline sexy... the only slightly disappointing factor was the relationship between the best friends.",8
The Kissing Booth,"['Comedy', 'Romance']","Really enjoyed it. Smart girl who has determination. The man is a real Alpha male, modern relationship with a thin hot bod who is worth it, laughs and of course lots of laugh to make it qualify as a comedy. Enjoy",9
The Kissing Booth,"['Comedy', 'Romance']",It is a pure teen movie but even if I am not a teen I had fun watching it. It is in the same league as Mean Girls.,8
The Kissing Booth,"['Comedy', 'Romance']","SPOILER: Yes, at first glance the movie is just cute and light only. Elle and Noah are a classic girl and best friend's older brother couple, not unusual and not too sappy. But here's the real triumph: Noah is an alpha male and has a lot of love in him - before they're even official. He adores her and expects her to be protected by him. We already know he cares when he tells her not to go to parties, takes ownership and gets into fights over her. So romantic! There is one scene in particular where he fights someone over Elle's honor and then he is visibly upset. This is a good relationship for young girls and good to feel wanted and loved. How many men care enough like he does? We should carefully consider how our current media affects young minds in the formative stages where every film has too-cool-to-be-in-love-kids. Not here. I want more kisses!! number two please.",1
The Kissing Booth,"['Comedy', 'Romance']",This is not a old people's movie. The adventure is quite innocent. What this is a coming of age movie that has both nostalgia and strong gender roles. One can be beautiful and strong at the same time. One can be a girl at school and in love at the same time. One should not be ashamed of the human body and so on. Good film.,10
The Kissing Booth,"['Comedy', 'Romance']","I can't say that i did not enjoy this film. It was fineand it is difficult not to fall for Joey Kings manliness. Yet the movie sent some strange signals because he is fighting for a butterface. Yes, she is thin and has feminine hair. It shows the second a girl shows skin she gets attention and the boy she wants, which is all true, natural and good. Also it is obviously one of the oldest cliches in life about a girl falling for the hunk.",10
Clueless,"['Comedy', 'Romance']","Director Amy Heckerling knows a thing or two about high school flicks, having directed the highly successful `Fast Times at Ridgemont High'. Heckerling put her talents to work thirteen years later for the next generation of high schoolers, writing and directing this hilarious satire of life at Beverly Hills H.S.  Heckerling takes a different approach from `Fast Times', which found its comedy in the absurdity of reality, depicting situations into which teenagers really get themselves.  Here Heckerling's comedy mostly comes from mocking the superficiality of the high school `in-crowd'.  While this is not the first time this has been done, few have ever done it with such blistering wit.  This film became the standard for a spate of 1990's high school flicks set on the west coast that borrowed many of its elements.",8
Clueless,"['Comedy', 'Romance']","The story focuses on Cher Horowitz (Alicia Silverstone), who is the most popular girl at Beverly Hills H.S.  Cher seems to be a superficial airhead, but this belies her conniving and manipulative skills at getting what she wants.   Superficial yes, airhead no!  In a plot derived in part from Jane Austen's `Emma', Cher works behind the scenes to arrange love matches between various students.  She even orchestrates a relationship between two teachers to improve their moods so they don't grade so harshly.  Like Emma, she is a master of love for everyone but herself.",9
Clueless,"['Comedy', 'Romance']","Heckerling does a fantastic job of presenting what seems on the surface to be a cotton candy story with lightweight characters, but really runs much deeper revealing subtle truths about human nature.  Her direction of the fledgling cast is superb, milking every ounce of comedy out of each scene.",6
Clueless,"['Comedy', 'Romance']","Silverstone sparkles in the role, which is probably not far from a reality with which she is very familiar.  She actually attended Beverly Hills H.S. with co-star Breckin Meyer, although she didn't graduate due to career commitments (she received a G.E.D.).  This film catapulted her to teen prominence with two MTV movie awards and an American Comedy Award as funniest actress in a leading role.  She plays Cher with both arrogance and vulnerability, and her comic timing is impeccable.  She also has a knack for physical comedy, with a broad range of contorted facial expressions and amusing use of body language.  The rest of the teen cast is also great, especially Brittany Murphy as Tai and Breckin Meyer as Travis.  Dan Hedaya is also priceless as Cher's work obsessed attorney father.",7
Clueless,"['Comedy', 'Romance']","This film is easy to like.  It is a light and funny spoof, but it still has nuance.  I rated it an 8/10.  For those who enjoy high school comedies, this is required viewing.",8
Clueless,"['Comedy', 'Romance']","""Isn't my house classic? The columns date all the way back to 1972.""",8
Clueless,"['Comedy', 'Romance']","When romantic high-school comedy Clueless (1995) was released, it was immediately vaulted into cult-status and firmly stapled as one of the most original teen-flicks of the 1990s. 'Original' is perhaps a term wrongly applied since it is based on the queen of romance Jane Austen's Emma (1815) . But what Clueless did was update the classic story by coating it with high school drama, teenage girls and shopping and sprinkle it with heavy doses of humour.",10
Clueless,"['Comedy', 'Romance']","Emma is no longer Emma; she is Cher (Alicia Silverstone), a spoiled rich girl walking around in her Beverly Hills mansion in a bubble of stereotypes and teen-clichés -- but with a great big heart. So big-hearted, in fact, that she takes on the lost goofy new girl in her school to find her love and popularity, knowing full-well that it could destroy her own reputation. Clueless thus sees Cher and her best friend Dionne (Stacey Dash) on a mission to do good. Real good.",8
Clueless,"['Comedy', 'Romance']","All the detours this mission entail are captured brilliantly in the film, taking the form of love-interests, parties, shopping and misunderstandings. From Cher's grumpy lawyer-father (an hilarious Dan Hedaya) and her nerdy step-brother (a likable Paul Rudd) to her eccentric group of friends at school, Clueless is a superb ride of teenage comedy camp. Only just over 10 years old, it is still extremely dated today. But no matter, because the 90s clichés like skateboarding, Marky Mark and the catch-phrase ""As if"" just make it so much more contemporary and fun to watch. ",6
Clueless,"['Comedy', 'Romance']","What elevates Clueless (1995) above generic high school comedy is its use of stereotypes. In most films they are unintentionally there to create a subconscious effect, but in Clueless they are made fun of to a much higher degree -- they are overblown and glorious. It brutally satirizes rich kids and their 'problems' and juxtaposes them with a classic, heart-felt love-story. The kind that only Jane Austen can write.",7
Clueless,"['Comedy', 'Romance']",9/10,7
Clueless,"['Comedy', 'Romance']","I love how the movie represent the new perspective about blonde girls, it show that you can be both popular and kind. it a bit boring but the mood of this movie is so good.",8
Clueless,"['Comedy', 'Romance']",And a Cinderella story.,7
Clueless,"['Comedy', 'Romance']",Alicia Silverstone was really hot here. Just so thin and those legs,7
Clueless,"['Comedy', 'Romance']",Own it in DVD!,9
Clueless,"['Comedy', 'Romance']","This movie is way above so many of the others of its' kind. It's consumately likable, funny, sweet and sharp- the script is a killer, and the acting is fun and enjoyable.",8
Clueless,"['Comedy', 'Romance']","Part of the success of the film is due to the fact that it appeals to several different audiences, and on multiple levels. ",7
Clueless,"['Comedy', 'Romance']","I first watched this movie with my mom, who loved the link it has to Jane Austen's Emma- all the main characters and the plot are direct modern equivalents to the novel. For instance, the famous passage in Emma inwhich Harriet burns all her ""mementos"" of Mr. Elton becomes the scene where Tai does so infront of Cher's gasfire. From this perspective alone, the movie is so fun and sharp to watch- even if your forte isn't usually American Teen High School comedy!",5
Clueless,"['Comedy', 'Romance']","But this movie works on a really dumbed down scale too- let's face it, not everyone is big on English literature. The movie has an awesome soundtrack, Paul Rudd is unbelievably cute as ""Mr Knightly"" or rather Josh- and my boyfriend leads me to believe that the same is true of Alicia Silverstone- who still sparkles 10 years later as a mid-nineties teen queen with good intentions, Cher. Her performance here is impossible not to warm too, unless you have some sort of grudge against Valley girls, inwhich case you might not like it so much. Seriously though, this film is a must see for anyone who likes some real quality comedy- I'm so fond of this film personally that I would suspect basically everyone would enjoy it.",9
Clueless,"['Comedy', 'Romance']","Cher is a high school virgin who nonetheless professes to all matters of love, relationship, fashion and even wades into her father's law practice. She was named after a former singer who now does infomercials.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Is kinda rare to see a female and male character fit so well on screen, Frances McDormand and Sam Rockweel perfomances are amazing, Woody Harrelson is also great, in fact everyone in this film is great, even the characters with short time on screen, that's great writing, direction and acting.",8
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","McDormand show extremely well the terrible weight and pain that her character is suffering, she is also shows a lot attitude in the things she does and says, the way she walks and looks to someone is like she's going to war.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Rockweel also give the best performance of his career so far, he balanced being funny, dumb, racist, violent, weak and strong, he does all that extremely well.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Three Billboards Outside Ebbing, Missouri is a very good film and can become a classic on character development.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","""Three Billboards outside Ebbing, Missouri"" marks a milestone for writer/directer Martin McDonagh and is an idea piece on a mother's struggle with her town after posting billboards containing a call to action in regards to her murdered daughter. With outstanding screen writing and near perfect editing, this powerhouse of a film is easily one of the best all year and is driven with force and intensity by its lead, Frances McDormand.",10
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","What begins as a narrow and focused drama, gradually escalates to a film with big themes and ideas, relevant social commentary, and much more subplots than anticipated. ""Three Billboards outside Ebbing, Missouri"" is packed with questions and a few answers about anger, revenge, violence, and kindness. The story shows people in a realistic light I've never quite seen before. We're presented with characters and their genuine emotions. Nothing feels sugarcoated of fluffed but it never lacks emotional impact either. ",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","The movie balances its seemingly contradictory tones beautifully by crafting a dark comedy that feels heavy due to strong subject matter, while at the same time, utilizing comedic moments that feel completely natural to the character's motivations. It's obvious great care was taken into this script and the method in which it's constructed. ",8
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","One of the most talked about elements to this film are the strong performances; particularly by Frances McDormand and Sam Rockwell. Rightfully so, this is some of their best (if not their best) work these eyes have beheld and they steal the show in every film they're in. That's not take away from Woody Harrelson and Lucas Hedges, as well as the entire cast who give memorable performances and paint shockingly believable characters that we feel we know personally. ",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","If there is anything that might turn audiences away from this film, it might be its harsh subject matter despite none of it every being depicted as well as its language and execution with the material. Personally, this has a strong impact and I wouldn't have changed anything about it. It's a highly recommended film with a lot to ponder at the end and is definitely a contender for best movie of the year. Definitely don't miss this one.",7
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","When you think about great cinema, you often imagine some grandiose epic setting which all that greatness builds upon. The likes of Gone With the Wind or Godfather or The Shawshank Redemption, such films span through decades or cover the major historic events.",6
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","But a great story isn't necessary grand on the outside. Three Billboards Outside Ebbing, Missouri is like a tiny rabbit hole size of those three wooden screens, but stick a head in - and you'll see a huge empty space laid with people's sorrow, guilt and regret. And that emptiness sucks you in and leaves no way to stay untouched.",4
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","But there's also hope. Hope for justice. Hope for retribution. And maybe even hope that it's still not too late to change something, or to change yourself. That nothing is absolutely black and white. That even in the darkest moments of our lives there's some room for a sense of humor, maybe a sad and bitter one but still one worth a warm smile.",4
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","This world is a crooked place, where crime often goes unpunished. And Peter Dinklage's small role in this film, as a reference to another not so pretty world where the ""happily ever after"" way doesn't quite exist, is a stinging reminder of that. TBOEM does not, however, try to pull the magic sword out of the stone and go crush the wicked and protect the righteous. Instead, it shows that sometimes, crumbling under the weight of the evil things that fall on us, we lose our own limits and become those who sow evil ourselves. Anger does beget even more anger.",3
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","And maybe the reason that makes America great indeed is that, with all the messed up stuff happening without and within, it's in your culture to value forgiveness, something Christianity teaches everyone but not everyone tends to listen. To suffer without guilt, yet to offer a helping hand to your offender when he's down and wounded. To break the circle of evil and help each other wake that yearning for decency that everyone has inside them, albeit dormant sometimes. Forgiveness is tough, and, just like revenge, it doesn't bring back the things - or people - we've lost. But at least it helps to hold onto what could still be here.",3
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Yeah, it's just a movie, and most people aren't as deep and philosophical as the movie characters can afford to be. But if some unrealistic complexity (and sometimes even wisdom) of the simple people could make some real regular people on the other side of the screen stop and think over their own real regular ways, maybe that's exactly what we need from time to time. Because life is still here, and so are the multiple choices it gives, And which road to choose today, we can still decide along the way.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Frances McDormand is, without question, one of the very best actresses of hers or any generation. Wow! And like most of the greatest she goes for characters who don't ask for sympathy. The truth is in her eyes, always. So, naturally, I followed her every inch of the way. She is surrounded by a fantastic group of actors. Woody Harrelson is just extraordinary but perhaps the biggest surprise is Sam Rockwell making his one eighty not just believable but very moving. Martin McDonagh's writing is the magic potion that keeps everything together and when I say everything I mean everything. Humor and horror as if it were practically the same thing. The dialogue is brilliant and Frances McDorman deserves the last paragraph. Her face is a wonder. Superb performance. Don't miss it.",4
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Three Billboards Outside Ebbing, Missouri is a dark comedy that has an a-list cast with names like Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, and Peter Dinklage. It centers around Mildred Hayes, a woman whose daughter was raped and killed, and who believes that the local police have not done enough about it. In reaction, she erects three billboards outside of her town that send a message to the sheriff about the state of the investigation.",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Writer/director Martin McDonagh (Seven Psychopaths, In Bruges) has outdone himself with this one. In my opinion, if this isn't one of the top Oscar contenders come awards season, then Hollywood has officially lost its mind.",10
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Basically everything about this film works: from the acting, to the writing, to the direction. Mcdormand gives the performance of her career here, giving us humor through all the pain clearly shown on her face. Rockwell also gives his best performance here as a cop who isn't that bright and is more than a little racist. ",4
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Three Billboards Outside Ebbing, Missouri is probably the most unpredictable film of the year, and that's coming from a year that includes films like Baby Driver and Logan. There are scenes where you think that you know where the plot is going, but then midway through it completely flips the script. ",9
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","For the entire run-time of this film, I was invested. It has the perfect run-time; it ends exactly when it needs to and there is not a scene that feels out of place. ",6
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","It seems like one of the hardest things to do in film nowadays is to balance comedy and drama. However, this movie does it effortlessly. Each scene has just the right amount of comedy and drama, and sometimes, despite the fact that you're laughing, it's easy to forget that jokes are being made.",3
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Also, the message that this film gives off resonates very powerfully with you after the film finishes. It makes you see the good side in humanity, despite our flaws. No character in this film is a cliché one-dimensional shell of a person. Everybody has a reason for being there, which is more than some films recently have offered.",10
"Three Billboards Outside Ebbing, Missouri","['Comedy', 'Crime', 'Drama']","Three Billboards Outside Ebbing, Missouri is easily one of the best and most enjoyable films of 2017, and it will make you laugh, cry, and think all in one sitting. There are not any clear flaws with this film that I can find, but I am still searching.",4
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","Finally got to see my most anticipated film of the year and I'm happy to tell you it's everything I wished for and more. Flanagan has done an amazing job adapting the book from Stephen King and giving lovers of the Kubrick film adaptation of ""The Shining"" (1980) a cinematic sequel.
Now i read the book and while I enjoyed it for the most part, I found parts of it underwhelming. I feel in this film adaptation, Flanagan takes elements from the novel and manages to make them more darker and serious which in turn really helped address some issues I had with the book. He does make some serious changes though and while I embraced them I'm not sure how others who read the book will feel about them. ""The Shining"" (1980) to me and I'm sure a lot of you, is a masterpiece in filmmaking. I for one prefer it over the novel and with this film, it most certainly feels like a sequel to Stanley Kubrick's version and a love letter to that film. The last 30 mins or so are absolutely amazing and kudos to Flanagan for pulling it off.
Ewan McGregor does a great job as an adult Danny Torrance and Rebecca Ferguson captivates as Rose the Hat. The film sets a great tone with some stunning visuals and the score completely grabs you. How much you enjoy this film really depends on what you want out of it. There's practically no gore here and no cheap jump scares. What you'll get though is expert filmmaking from someone who you can tell really loves the source material he's pulling it all in from. Everything struck a balance for me that I was tremendously pleased with, top horror film of the year.",9
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","Rating 10/10
Clue from dreams. Finally i watched a good movie after almost 2 months. I went in to see this movie, mind you i had not read any reviews much less have seen any trailers. I was shocked by how good the movie was.This movie is really amazing. Great cinematograpy, great acting performance with great cgi effects. Thanks Mike Flanagan & Stephen King for making this kind of movie. I strongly suggest you guys to go watch it on the biggest screen you can get. I am sure that you wont regret what you pay for. I really liked it. Shine on Abra Stone !! Shine on !!",10
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","The ever-beautiful Rebecca Ferguson and a favorite from the Fargo series, Zahn McClarnon team up to bring us some somewhat scary, but more so eerie/creepy moments in this adaptation of King's Doctor Sleep. For the most part, and with the help of Ewan McGregor who plays an alcoholic, grown-up version of The Shining's Danny Torrence, they pull it off.",8
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","While Doctor Sleep is a rather drawn-out and, mostly, slowish-moving film, it still has enough to it, to not lose one's attention. The story-line is solid and engaging, although those unfamiliar with the book and looking for outright horror and gore, will find little satisfaction. There are a couple of scenes which can be construed as ""horrific"", but in my opinion, Doctor Sleep is not really a ""horror flick"" by definition. To me, it is more like an intense drama about good vs evil, with a couple of well-done 'end-of-life' scenes thrown in. :)",8
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","What I most enjoyed about it, is that in this day and age where practically every story ever has already been made into a movie, this one's plot was just a bit off the beaten path and came across as slightly new and original in its approach, while still pretty seamlessly tying it in to the well-known classic: The Shining.",8
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","If I had to add one con, it would be a somewhat minor one, in that, at times, the girl who plays Abra (Kyliegh Curran), who also possesses 'the shining', and who can communicate with Danny, delivers her lines in almost a stone-like manner, and at other times as if she is rapidly reading. It occurred one too many times, and I found that it took me out of the movie for just a bit.",7
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","While good, the scenes leading up to the ending are a bit predictable, and the 'showdown' (remember, good vs. evil) leaves a little to be desired. For the most part, however, I can live with it, seeing as Rebecca Ferguson saves it by just being in it, and King and the creators do their best to come full circle. In short, like the entire film itself, it is satisfying-enough to where one can feel as if watching it, was time well spent.",7
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","If you are going into this film expecting it to be a straight up sequel to the Kubrick film with the same horror tone, you'll be disappointed, however if you have an open mind, this movie is very well directed and acted and the story is very compelling. This is more of a fantasy thriller than a horror film and I really like that about this film. It also does quite a bit of homage to the 1980 film, but takes it into a new and interesting direction with a deep underlying theme direct from Steven King.",10
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","This is easily one of the better film adaptations of a Stephen King novel, and also one of the better films I've seen this year.
Yet again, professional film critics have proven they mostly have no idea about the cinema of the fantastic (fantasy, SF, and horror). If you're a fan of the genre, you'll love this film - ignore the critics.",4
Doctor Sleep,"['Drama', 'Fantasy', 'Horror', 'Thriller']","What a surprise... That wasn't so bad actually! Now, hear me out. When I first saw the previews for this I felt disappointed by the visual look of the film, as it was all too green-tinted and lacked the Kubrick-esque framing I want from a film like this (it being a sequel to ""The Shining"" after all). Remember, I care too much about the visual aesthetics of these things sometimes. Especially when it was clearly supposed to connect right to the iconic classic. The green tint stays throughout the film, much to my displeasure. Worked great in ""Joker"" though. But once I got what the story was and paid attention I realized I was getting invested. This is a different type of film while still remembering to pay huge amounts of respect to the legacy of the original. Once you do get to the elements that carry over from Kubrick's film it felt well earned. Interestingly enough they kind of blend well together too eventually. We delve into the supernatural aspects of what Stephen King was going after in his book, and that's completely fine. I don't mind a chilling spookie once in a while. Recently I've felt done with most of the modern day horror film tropes, so it's such a shock for me to say that I had a good time with ""Doctor Sleep"".",4
